 40.84 4.85 22.20 13.54 4.03 20.78 15.00 17.52 14.59 13.23 29.78 0.10 14.83 6.03 21.01 11.99 18.24 30.68
 15.92 9.43 17.96 4.83 1.83 28.30 13.10 19.71 17.14 13.51 35.73 -0.11 14.16 7.85 26.58 12.89 16.04 23.12
 30.92 8.12 19.25 10.48 2.82 37.49 8.95 24.30 24.80 12.56 38.26 2.26 13.35 8.14 42.50 9.77 17.10 16.28
 8.48 9.35 22.68 7.28 2.50 23.40 7.37 7.96 12.76 13.97 31.44 2.65 11.58 4.50 35.92 9.68 17.63 20.48
 39.95 5.91 19.77 5.13 6.26 21.17 7.52 3.11 8.72 15.00 41.22 6.32 11.20 8.32 52.58 11.61 16.55 22.58
 23.49 6.55 26.02 4.23 13.16 39.53 8.24 5.72 6.17 11.17 45.30 12.06 3.43 9.33 54.85 13.26 17.73 16.07
 5.60 2.85 29.55 10.23 22.36 44.61 9.97 3.94 16.83 9.67 47.06 15.54 5.79 10.99 44.34 19.53 20.22 14.72
 10.00 0.12 24.19 18.13 29.96 43.37 15.36 3.68 14.35 10.69 40.37 11.72 17.08 15.00 39.15 18.23 19.94 21.20
 36.49 3.85 22.30 15.72 26.43 43.76 18.83 2.81 4.83 12.92 43.26 10.25 20.96 20.64 45.43 20.54 20.21 20.67
 10.20 1.76 19.92 19.58 16.68 41.66 14.52 4.52 8.13 20.10 39.24 16.48 9.82 22.07 60.24 19.78 22.03 18.78
 18.70 1.29 13.62 26.05 14.33 34.69 8.23 28.51 21.98 27.02 35.12 14.12 10.06 22.28 65.42 11.89 21.16 20.85
 11.79 10.06 13.02 21.58 11.59 34.81 8.68 30.61 0.55 36.79 19.20 7.07 12.53 29.40 70.54 9.39 19.66 27.42
 20.19 12.04 11.84 24.24 8.84 30.71 12.58 36.75 7.92 35.72 31.71 6.03 14.91 29.29 78.91 9.55 23.46 23.20
 11.54 18.80 3.60 22.18 9.04 25.03 14.66 54.25 26.77 31.08 28.08 7.16 16.86 25.07 82.21 10.88 25.93 24.94
 32.41 23.87 2.12 21.04 11.08 18.19 21.16 59.88 29.64 35.80 54.00 17.74 24.27 23.27 76.47 14.86 29.40 37.40
 17.72 30.94 5.94 20.83 15.56 28.04 27.44 70.71 19.28 35.91 51.95 16.88 24.97 20.87 56.41 20.11 24.45 43.18
 27.53 32.36 2.54 18.80 11.81 29.16 34.94 93.48 11.44 28.36 60.90 13.33 25.57 17.14 54.41 23.67 22.17 41.52
 33.31 38.88 1.52 25.54 10.57 59.83 48.27 96.67 21.21 29.05 89.72 19.25 21.79 19.78 57.51 29.04 22.71 53.65
